,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,E12,SYBR,Retnla,Unkn,,1099.54964745887,,Unknown,Unassigned,False
,F01,SYBR,Chi3l3,Unkn,,16178.3863975781,,Unknown,Unassigned,False
,F02,SYBR,Chi3l3,Unkn,,18330.3737198978,,Unknown,Unassigned,False
,F03,SYBR,Chi3l3,Unkn,,14592.1001325573,,Unknown,Unassigned,False
,F04,SYBR,Chi3l3,Unkn,,14324.4707239276,,Unknown,Unassigned,False
,F05,SYBR,Chi3l3,Unkn,,17824.5697590112,,Unknown,Unassigned,False
,F06,SYBR,Chi3l3,Unkn,,17479.8671181304,,Unknown,Unassigned,False
,F07,SYBR,Retnla,Unkn,,490.712837054049,,Unknown,Unassigned,False
,F08,SYBR,Retnla,Unkn,,506.712407582807,,Unknown,Unassigned,False
,F09,SYBR,Retnla,Unkn,,1415.29509283191,,Unknown,Unassigned,False
,F10,SYBR,Retnla,Unkn,,289.809776922748,,Unknown,Unassigned,False
,F11,SYBR,Retnla,Unkn,,312.393173916335,,Unknown,Unassigned,False
,F12,SYBR,Retnla,Unkn,,94.6103444479622,,Unknown,Unassigned,False
,G01,SYBR,Chi3l3,Unkn,,41651.5540680764,,Unknown,Unassigned,False
,G02,SYBR,Chi3l3,Unkn,,42475.7115924739,,Unknown,Unassigned,False
,G03,SYBR,Chi3l3,Unkn,,42732.0253442746,,Unknown,Unassigned,False
,G04,SYBR,Chi3l3,Unkn,,42864.984828232,,Unknown,Unassigned,False
,G05,SYBR,Chi3l3,Unkn,,37254.1677208701,,Unknown,Unassigned,False
,G06,SYBR,Chi3l3,Unkn,,42388.375084257,,Unknown,Unassigned,False
,G07,SYBR,Retnla,Unkn,,40774.9822243789,,Unknown,Unassigned,False
,G08,SYBR,Retnla,Unkn,,41365.9488252661,,Unknown,Unassigned,False
,G09,SYBR,Retnla,Unkn,,44343.6554554572,,Unknown,Unassigned,False
,G10,SYBR,Retnla,Unkn,,42874.4703481751,,Unknown,Unassigned,False
,G11,SYBR,Retnla,Unkn,,46003.9646287225,,Unknown,Unassigned,False
,G12,SYBR,Retnla,Unkn,,45828.9232684085,,Unknown,Unassigned,False
,H01,SYBR,Chi3l3,Unkn,,23820.5807779829,,Unknown,Unassigned,False
,H02,SYBR,Chi3l3,Unkn,,24328.6800406131,,Unknown,Unassigned,False
,H03,SYBR,Chi3l3,Unkn,,24517.8422738435,,Unknown,Unassigned,False
,H04,SYBR,Chi3l3,Unkn,,23444.9776972576,,Unknown,Unassigned,False
,H05,SYBR,Chi3l3,Unkn,,23614.726859565,,Unknown,Unassigned,False
,H06,SYBR,Chi3l3,Unkn,,21627.591585034,,Unknown,Unassigned,False
,H07,SYBR,Retnla,Unkn,,7916.96240409596,,Unknown,Unassigned,False
,H08,SYBR,Retnla,Unkn,,4794.77335922823,,Unknown,Unassigned,False
,H09,SYBR,Retnla,Unkn,,11632.6166241993,,Unknown,Unassigned,False
,H10,SYBR,Retnla,Unkn,,7530.12274114272,,Unknown,Unassigned,False
,H11,SYBR,Retnla,Unkn,,651.040828541159,,Unknown,Unassigned,False
,H12,SYBR,Retnla,Unkn,,5004.43650297089,,Unknown,Unassigned,False
