,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,79,361.98917757788,456.926616697615,32.9442682860058,1425.85866247972,1535.16312358934,1503.91863973759,1665.16551505722,1538.47707376549,1642.21136692549,1600.72766003494,1712.86851472956,1564.83558858752,1725.31536264483,1615.71655770508,1738.14834927489,1597.58155429316,1882.95432513768
,79.5,378.006055633844,492.413921818545,32.3591798823938,1556.25683958196,1665.90491402375,1646.30632229431,1816.56277685177,1680.26203340069,1805.84035062184,1751.67107738333,1876.81449897349,1718.43999158457,1896.37286172841,1777.41204907882,1910.50317604767,1759.40594036095,2064.07217099226
,80,396.939808370793,544.09306711434,31.1585420522061,1731.95359284993,1840.9808253334,1839.90177168587,2019.68944939494,1873.71901623783,2031.46072602868,1959.04396560449,2100.17296130835,1929.63596341933,2130.2572338782,2002.66684376564,2152.0017173753,1981.0986953551,2313.42960975956
,80.5,418.889699091802,644.173366171286,31.236939910147,1976.78255767492,2084.70943423476,2111.64508543042,2301.15847660997,2144.10282472668,2346.61506247443,2251.76833835819,2413.68489284263,2228.47867112513,2460.90124896154,2326.72076730903,2500.66690479791,2295.7694524134,2669.3912377375
,81,447.135310232827,823.685427415446,30.7809339317254,2369.15858550688,2454.91636966407,2546.823319309,2751.17521042086,2567.08193200894,2838.74357866135,2714.55175911807,2928.72042378607,2724.53055280064,3013.32618434357,2881.50909020109,3089.96542570343,2826.90180300694,3276.32261710321
,81.5,504.57562023578,1034.0681760052,28.6142195038334,3106.54057447702,3148.94252150395,3351.91228797231,3608.71749276936,3355.12481167388,3734.83018689609,3567.95406421068,3873.72460533719,3614.2551525534,4006.21240125609,3843.41596144088,4121.32107263761,3748.16339580732,4340.65621095491
,82,624.734747178417,1211.60966890049,25.8326419552973,4168.75977333156,4209.2033639086,4492.50084126966,4859.95503042126,4506.64986067405,4996.1726270766,4779.10749279375,5170.04688875573,4794.58313730797,5322.2066511153,5047.53140580284,5434.56475976226,4908.95193494517,5692.18373029687
,82.5,779.478262477701,1333.81179104526,23.5568248968937,5246.08229858195,5345.65606244712,5633.67578839618,6142.77192694589,5688.82580457895,6253.41017500759,5989.79999742892,6434.74714035939,5916.56005754683,6575.41947388155,6141.8361653862,6644.01072045438,5965.46948160458,6931.59210127992
,83,916.674881997689,1331.08743245035,21.6019696038156,6118.11709054523,6297.50759262983,6545.25473527338,7193.85715364557,6649.0016588376,7255.39939839965,6952.41527613688,7425.49050513151,6772.75283906885,7536.09293680073,6936.24509750364,7536.71151798371,6731.94892998808,7841.3942803928
,83.5,1019.58925372468,1132.77239459811,20.2171102260584,6578.63760450013,6875.73759027567,7002.83831797769,7769.7242648642,7175.71690001552,7756.86902547531,7434.85021146495,7862.88682349715,7097.39943811808,7898.57770170103,7123.69263046717,7785.48963637545,6921.33516362551,8085.277398686
,84,1037.75904799221,828.694891882746,20.5810014169555,6202.88966846893,6653.78365100312,6562.42822540463,7363.09008663549,6813.99830843251,7265.31937231025,6967.62580817417,7260.07710793325,6467.93067915935,7195.49829397489,6320.63686253391,6961.58676408558,6156.63968526073,7215.9572420085
,84.5,900.986848932606,538.19934233737,23.7655292711216,4997.58366599446,5520.77690071579,5257.90521184663,5964.649868641,5531.97758642373,5822.11178514917,5583.32205516527,5740.12694381112,5050.90260343216,5622.68056853418,4816.34185057039,5346.90083642269,4700.90344771109,5529.77755162389
,85,667.807534819171,284.473128359418,27.6480817757218,3529.39587253927,4005.40629439065,3694.76089210613,4235.30087322506,3930.64480206505,4095.70885189071,3923.14673893267,3989.92582414238,3468.96889950217,3866.26008076828,3231.4111148647,3615.52075211691,3160.76948022889,3732.68818366666
,85.5,440.903574474047,102.902949008412,29.3591122235989,2145.80131193631,2530.22145903176,2229.53664512108,2594.28802153497,2412.3949007263,2475.5577960572,2367.99154598887,2366.72726611408,2019.28733163727,2252.8713650084,1807.70532632646,2049.28838672535,1778.33657152816,2112.21874900713
,86,239.884727081854,29.7974683410729,30.3149011406647,997.17709382795,1265.96090286471,1023.22232431461,1223.72904384967,1141.93779392581,1140.65077788217,1087.83802345319,1057.17864192993,871.348942525394,977.95511074351,726.102669382794,847.36288994308,723.93089364614,868.99613282304
,86.5,89.1644693483933,22.2551173519595,30.9946993787603,306.900921593235,443.982556684454,308.865416032832,389.802359316853,359.200351546735,351.101593067534,327.690611353949,315.437710213449,245.589944825323,285.030644655641,188.941207738487,232.980947630271,193.473538869593,235.822788392146
,87,25.3442985464536,22.3730061226723,30.3939102725618,80.4249620492596,125.52607482637,77.7077181796273,105.80577923399,88.7482751165163,94.2753981941825,79.0382026696644,88.4928106496445,68.1865993801716,85.3197501677998,59.099130737455,72.9215017737761,62.9352256213739,74.3104929197382
,87.5,19.0774815487487,21.9088864628892,28.9105596883049,44.1051060516966,56.613597443475,40.3543988064362,53.9721836981672,43.7396229664524,49.2919301207102,38.1318208362235,49.4899158587531,41.4906702618913,52.1636194081036,40.3611736004498,48.5080373685832,45.1357385972384,49.8535314003709
,88,18.915824089883,20.7840537454861,28.8614057461476,40.8715699488019,45.3384330259632,37.1589830241215,45.3709369841021,41.1019937050949,42.6229720070277,35.2130142183531,42.9349093222008,38.1316659368343,46.6306062781254,37.4853844256833,44.9436991074145,42.8106821648397,46.1595999015125
,88.5,17.8567923672582,20.2291558907739,29.2158744903658,41.7848193143109,43.5370891223025,37.5987921303964,43.6502357112811,42.6207713111011,40.9310263454531,35.737885794342,40.3971706842835,37.6554955224191,43.6657987689441,37.2420243532473,43.6154845236227,41.6974200220537,44.5644508114385
,89,17.2145593456801,19.4120370404114,28.8108622302623,42.801599130986,41.8792667675394,37.8084282791697,42.7785144149511,43.8407102410561,39.8929738673498,36.9077019228703,39.6653151546629,37.3596669572179,40.8214753310544,36.9063605853024,42.9998874845386,40.9219296157219,43.6560310542152
,89.5,16.2061066858784,17.3816080095216,28.3739105502694,42.2177204569014,40.2284589539995,37.2518120502781,41.3894761841647,43.4257536891055,38.7874513652597,38.0262897341145,39.3704588262341,35.8840013157952,38.1475211868029,35.3750469871059,42.1980520098308,39.8513203556812,42.5673521399534
