,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,89,5066.57955523452,5596.22902277059,5434.03689318797,4712.0168775955,4939.21498802449,4888.40466878474,5430.99948008629,4977.29904581983,5609.59158617091,4779.74458313473,4891.08199178754,5134.50372175177,4941.10905038442,5227.44995706756,5040.73521034898,4792.84369756527,5035.16569809973
,89.5,5058.10996350466,5587.04435041777,5419.7698706403,4690.48210547996,4918.71886154954,4869.55116268506,5409.89362763036,4955.37440618181,5589.88121767189,4761.0353753767,4871.31152382308,5116.14355625372,4921.3394612996,5209.39315722625,5019.25856466885,4772.60618450228,5013.52723401902
,90,5050.45931255011,5578.76349274744,5405.66775254379,4669.98706761495,4898.98385360391,4851.29005649086,5389.66961424666,4934.20037031676,5570.88649195641,4741.9753072495,4851.900122509,5098.56274836103,4902.9762799926,5192.08885292989,4998.6312484125,4753.05099815149,4992.6808983794
,90.5,5043.55056994834,5570.87516558898,5391.8553210637,4650.1516438758,4880.16838277191,4833.86015450899,5370.34613130742,4914.75563709505,5552.87938743887,4723.94411835782,4833.83070219172,5081.15887745499,4886.02597470016,5175.52106028573,4978.60769948817,4734.26717965245,4972.70324673407
,91,5037.39283754671,5563.45818306182,5378.5750176306,4631.6470739342,4862.5459034398,4817.89386059004,5352.40251255755,4896.4456291001,5535.63735310207,4706.75342715657,4816.21608195084,5064.14189020439,4870.07581650539,5159.03581384454,4959.21553008284,4715.79737314673,4953.58337259144
,91.5,5031.8386227795,5557.04337508394,5365.79853416288,4614.76639746387,4845.84067837223,4802.49059743177,5336.1746239886,4879.76845970961,5518.83685851431,4690.48159092504,4799.341665198,5047.78199898928,4853.9111367428,5143.39145440383,4940.00081956495,4698.10927380763,4935.02766287066
,92,5026.9633604503,5551.16982239794,5353.34602539629,4599.78220508933,4829.89754095,4787.44798713761,5321.00770069233,4864.62573874639,5503.08088327446,4674.61511121455,4783.60664366051,5031.65761158955,4837.84810366347,5128.52577357453,4921.60923413313,4681.05570163267,4916.94885339184
,92.5,5022.85453486906,5545.45893778357,5341.76527780447,4586.2502160197,4815.07658947782,4772.99695339501,5306.98859106855,4850.44545694728,5487.92942563632,4659.33298990904,4768.60885601248,5016.13524174645,4822.32246928922,5114.17171608664,4903.4494346114,4664.27182484287,4898.9762793562
,93,5019.25197820364,5540.50467410877,5330.63683854472,4574.36820895891,4801.33927986141,4759.10215728309,5293.5270515434,4837.31830338878,5473.06181242451,4644.6790808566,4753.98912835157,5001.73805183416,4806.94536461167,5100.12518122937,4885.83704252617,4647.74062118112,4881.69392369542
,93.5,5016.06377540804,5535.84665968788,5319.68559561061,4563.29456382578,4788.37015626483,4744.78534743985,5280.53726267774,4825.37259902178,5458.50554123056,4630.08951148214,4740.00800752104,4987.78462998267,4792.00278735144,5086.80893893897,4868.58036006667,4631.61649275249,4864.50792523101
,94,5013.49687088784,5531.08983540503,5308.38710578372,4551.54114769799,4776.58609935166,4730.47239858294,5267.74006283516,4813.29246416907,5444.37572741765,4615.88262750601,4727.12347074262,4974.75217459894,4777.53359464358,5073.88972444955,4852.29951001813,4615.64518750071,4848.93790637111
,94.5,5011.16221025799,5526.55296297016,5297.45069391588,4540.27862210337,4765.33162839149,4716.4581161822,5255.05153248759,4801.49444918632,5430.1466708224,4601.98780979194,4714.12503004492,4962.12152356204,4763.55269286865,5061.15983293429,4836.18621405998,4599.77685802036,4833.49141824634
,95,5009.38705715211,5521.46951302484,5284.95626270819,4526.31316859778,4755.2621238076,4701.50889084529,5242.94496402904,4788.67251532578,5416.16883278759,4588.52451260828,4702.95293481163,4950.8128714679,4749.07656659505,5048.77246690428,4821.28217642321,4584.12609991972,4821.43959329838
