,Cycle,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,28,12.0019468074524,18.3789064835601,-5.5874055696022,24761.0027701367,28169.1763774576,22947.92150119,28060.7464425842,19236.753116226,23824.9054794793,17578.3216031707,21542.9860538189,13699.3783058519,19161.154929418,10700.4343133123,14623.0779219238,8244.5513256094,13226.4895273922
,29,4.94858830239264,18.0711133678142,-13.6059358907069,27586.6073102725,30762.6861211893,26331.1395777754,31206.366346984,23077.5512392749,27498.3005794667,21669.8370972651,25587.5804811564,17627.9527844389,23330.1706392826,14282.0674380023,18816.9829588977,11335.3908188325,17384.5957773269
,30,-5.88154927437154,13.4612862668937,3.35347526365513,30090.3195629789,33050.1795207197,29337.2390397341,33979.2592044926,26606.1216666311,30774.3595457936,25565.6394946098,29272.2370968989,21668.9861500186,27257.6835575645,18397.1154292736,23130.8849716798,15219.4313811759,22011.1551319844
,31,35.6236268046105,39.9082658255747,-7.32468355685069,32326.2804523087,35128.6793279527,31977.2688271743,36443.9505088766,29697.4285243308,33638.9741290941,29011.3117562795,32491.5937867004,25373.4443838403,30712.675739838,22420.4811479474,27115.2859951154,19450.1371476269,26408.9243528987
,32,69.1428301846299,94.3731530070536,-2.25402655898051,34398.3353470923,37025.9462832184,34403.2348980011,38698.9218511271,32517.5449571605,36255.4006181486,32166.3330340754,35431.5479073036,28808.4474126616,33858.896512205,26289.3657852241,30809.0448162276,23757.7069962835,30595.5804585349
,33,137.829968367708,190.52654446733,-3.7623343000223,36210.1839384458,38728.7308916533,36509.6145746538,40702.3530625988,34932.7024845577,38533.7183154573,34833.011983459,37964.5330941518,31717.7678041629,36537.1683264732,29613.4064463933,33969.193647582,27556.0485447808,34142.2967940333
,34,277.47513384885,373.930336552787,-1.24153562481388,37833.8866139367,40266.6011632722,38390.8412397325,42526.387738331,37077.6532674239,40581.6106806029,37189.1369318553,40236.6463525512,34260.0000806352,38908.2849369618,32515.7362865188,36722.587765552,30871.5473398386,37218.9855631453
,35,537.865907399329,716.158386472852,-5.25382326298131,39273.0546948233,41641.5175944876,40086.0611834485,44192.346006792,39011.1626870381,42440.6214483937,39300.3594637163,42288.4410837982,36516.9230075141,41047.7048027592,35075.4391553101,39180.54458133,33752.0493479237,39927.6317077879
,36,1003.9760760683,1325.34175073318,-6.1717014197402,40531.169822516,42862.7574840962,41601.7907411681,45709.0721420919,40751.8473410147,44144.027194107,41200.653811926,44163.2433256956,38533.8977879527,42995.0659601868,37343.1063113468,41392.8874749227,36256.2328896394,42327.4833889525
,37,1848.32877433378,2362.82283118981,2.46069865647769,41682.1364851123,43950.6367868652,43001.507670167,47070.1108700192,42335.6519239133,45691.1071296602,42907.9652872445,45855.7651838219,40343.8635912953,44736.6515831058,39381.4598009676,43368.7407332923,38477.2028618537,44477.0550712077
,38,3393.63964694797,4270.83641629913,-4.08386408365277,42729.5082203841,44885.3157462918,44273.7854936058,48273.8928011131,43795.0684822551,47103.7960282046,44510.9796531116,47439.243917394,42059.553826598,46372.3605695246,41303.0441695802,45239.0317946744,40580.8684550675,46526.0223171786
,39,5475.79830713957,6447.10035998273,-14.1249198550986,43538.6455809148,45610.7691571538,45355.5455244718,49313.2094044505,45089.1288675955,48357.5946304704,45941.7421925894,48866.4056127242,43602.5353863257,47858.5926599428,43030.9582068726,46945.2647114239,42450.8260734169,48355.3610359371
,40,7550.97014890017,8891.61466224061,3.50269795174336,44102.9547075672,46159.8985413835,46258.4720323818,50251.8660492635,46265.8152465242,49523.4959299729,47260.9438761701,50202.6611698378,45046.7307205048,49291.5576787475,44639.8556455887,48607.9423926202,44161.8711746237,50045.914279973
